title,time,content
<h1>Israel court convicts seven over wedding video celebrating arson</h1>,Published On 27 Apr 2022,An Israeli court convicted seven Jewish men of inciting violence and terror and a slew of other charges for their involvement in a 2015 wedding in which participants celebrated an arson attack that killed a Palestinian toddler and his parents.
<h1>New Israeli rules on foreigners visiting West Bank stir outrage</h1>,Published On 27 Apr 2022,"Palestinian legal experts, academics and digital rights groups have expressed outrage over an incoming Israeli policy for the entry and residence of foreigners in the occupied West Bank, which they say further complicates the "
<h1>Palestinian killed during Israeli raid on Jenin camp</h1>,Published On 27 Apr 2022, Israeli forces have shot dead a Palestinian teenager during a raid on the Jenin area in the northern occupied West Bank.
<h1>Israeli forces kill Palestinian in occupied West Bank raid</h1>,Published On 26 Apr 2022,"Israeli forces have killed a Palestinian man during a raid on the Aqabet Jaber refugee camp in the occupied West Bank city of Jericho, according to the Palestinian Ministry of Health."
<h1>Egypt’s role in Gaza: More than a mediator</h1>,Published On 26 Apr 2022, Tensions have once again escalated between Hamas and Israel over the past two weeks.
<h1>Palestinian wounded at Al-Aqsa compound slips into coma</h1>,Published On 24 Apr 2022,A 21-year-old Palestinian man who suffered a serious head injury on 
<h1>Ramadan through Palestinian eyes</h1>,Published On 25 Apr 2022,"Ramadan is a time of reflection, but in Jerusalem, the month is often accompanied by violence. This year, overlapping holidays for Christians, Jews and Muslims have shone a light on Israel and Palestine’s fault lines, particularly at holy sites in Jerusalem where Palestinian Christians and Muslims have fought Israeli restrictions on access."
"<h1 class=""gallery-header__heading"">Christians celebrate ‘Holy Fire’ ceremony in tense Jerusalem</h1>",Published On 24 Apr 2022,In Pictures
<h1>A microcosm of Palestinian struggle: One family’s life in Hebron</h1>,Published On 26 Apr 2022,Daily life is a test of resilience in the two-story home of 64-year-old Abdulkareem al-Jaabari and his family of 16.
"<h1>The cause, and the goal, of Israeli violence</h1>",Published On 20 Apr 2022,"Another Ramadan, "
<h1>Why is East Jerusalem’s Damascus Gate a hotspot for tensions?</h1>,Published On 21 Apr 2022," The Damascus Gate, or Bab al-Amud – as it is known in Arabic, has re-emerged as a flashpoint between Palestinians and Israeli forces in occupied East Jerusalem."
<h1>Israeli fighter jets attack Gaza for second time in a week</h1>,Published On 21 Apr 2022,"Israel has carried out air raids in the central Gaza Strip for the second time this week, according to witnesses, with its military saying its fighter jets attacked an underground complex used to produce rocket engines."
<h1>Arab League urges Israel to stop Jewish prayers at Al-Aqsa Mosque</h1>,Published On 21 Apr 2022,The Arab League has called on Israel to end Jewish prayers inside the 
<h1>Turkey calls for Israeli ‘sensitivity’ towards Palestinians</h1>,Published On 8 Dec 2021,"Turkish President Recep Tayyip Erdogan says he is open to improved relations with Israel, but the country must first display “more sensitive” policies towards Palestinians."
<h1>What’s behind the spate of Palestinian attacks on Israelis?</h1>,Published On 30 Mar 2022,Eleven people have been killed in three separate attacks within a week.
<h1>Israeli police fire rubber bullets in new Al-Aqsa incursion</h1>,Published On 21 Apr 2022,"Israeli police forces have launched a new incursion into the Al-Aqsa Mosque compound, wounding dozens of Palestinians, according to medical sources."
"<h1>Timeline: Al-Aqsa raids, closures and restrictions</h1>",Published On 20 Apr 2022,Tensions have again flared in recent days after Israeli police entered the Al-Aqsa Mosque compound as worshippers gathered for early morning prayers.
<h1>New Israeli raid at Al-Aqsa mosque leaves Palestinians injured</h1>,Published On 22 Apr 2022,"Israeli forces entered the Al-Aqsa Mosque compound in occupied East Jerusalem and injured approximately 30 Palestinians, including three journalists."
<h1>Jerusalem: Palestinian-French lawyer fights Israeli deportation</h1>,Published On 21 Nov 2021, Jerusalem-born-and-bred Palestinian lawyer and human rights advocate Salah Hammouri is fighting imminent deportation from his homeland.
<h1>Building materials allowed into Gaza after Israeli assault in May</h1>,Published On 1 Sep 2021,"Dozens of truckloads of construction materials were allowed into the ravaged Gaza Strip, slightly easing a crippling 14-year-old blockade on the beleaguered enclave that was further tightened since an "
<h1>West Bank anger boils as Jenin becomes hotbed of resistance</h1>,Published On 1 Sep 2021," – Palestinian armed groups are increasingly becoming more visible as frustration with the Israeli military, violent settlers, and the Palestinian leadership – whose authority continues to wane – intensifies."
<h1>Israel to formalise defence ties with Morocco on minister’s visit</h1>,Published On 23 Nov 2021,Israel’s Defence Minister Benny Gantz is headed to Morocco to “formalise” security cooperation between the two countries.
<h1>Israeli troops kill Palestinian during Gaza blockade protest</h1>,Published On 2 Sep 2021,"Israeli troops have killed a Palestinian in the besieged Gaza Strip, Gaza’s health ministry has said, as hundreds took part in a protest against Israel’s 14-year blockade of the territory."
<h1>Palestinian prisoner admitted to house arrest to give birth</h1>,Published On 5 Sep 2021," Following Palestinian outrage and a public campaign that went viral and drew international attention and condemnation, a heavily pregnant Palestinian detainee was released from an Israeli jail to house arrest to give birth at home."
<h1>‘My Zionism’: Israel’s latest unsuccessful PR stunt</h1>,Published On 23 Jun 2021,"On June 1, Ashager Araro, an Israeli army reserve lieutenant of Ethiopian Jewish descent, released a video on Instagram captioned “My Zionism”. In the almost three-minute clip, Araro accuses those who consider Zionism to be an “imperialist idea”, of “actively” deleting “the history of Brown and Black Jews”."
"<h1>In a bid to ease tensions, Israel says will allow goods into Gaza</h1>",Published On 26 Aug 2021,Israel says it will allow more goods and equipment to enter the besieged Gaza Strip for civilian and international projects following days of heightened tensions.
<h1>UN calls on Israel to stop demolishing Silwan homes</h1>,Published On 30 Jun 2021,"The UN has called on Israel to stop demolishing Palestinian homes in occupied East Jerusalem. Some 1,500 people face homelessness to make way for a religious theme park. Edited by Katya Bohdan."
<h1>Israel warns US over plan to reopen Jerusalem consulate</h1>,Published On 1 Sep 2021,Israel has said that the United States’s plan to reopen its consulate in Jerusalem is a “bad idea” and could destabilise Prime Minister Naftali Bennett’s government.
<h1>Absolving empire in Palestine</h1>,Published On 4 Jun 2021,"Pakistan’s Foreign Minister Shah Mehmood Qureshi caused a stir during a May 20 interview with CNN about Israel’s 11-day military offensive on Gaza by claiming that the Israelis are getting favourable coverage because of their “deep pockets” and “control” over the media. The CNN anchor conducting the interview, Bianna Golodryga, immediately "
<h1>Palestine and the UN’s ‘responsibility to protect’ doctrine</h1>,Published On 1 Jun 2021,"The recent escalation of the conflict in Palestine has emphasised the multiple paradoxes in the decades-long political stalemate in the Middle East, which is unique in the amount and extent of suffering heaped on its peoples. Notable also are the paradoxical levels of external complicity and indifference."
<h1>Raw sewage pours into Gaza waters</h1>,Published On 2 Jun 2021,“There is nothing except the sea and now it is polluted.” Palestinians in Gaza have been warned to avoid swimming as raw sewage is dumped into the sea off Gaza’s coast. Edited by Juyoung Choi.
<h1>Israel will ask US for $1bn to ‘replenish’ Iron Dome</h1>,Published On 2 Jun 2021,"Israel’s defence chief Benny Gantz will travel to Washington, DC, on Thursday to request a $1bn replenishment of the close United States ally’s Iron Dome air defence system, US Senator Lindsey Graham and Israeli officials have said."
<h1>Israel rolls back army chief comments on AP’s ‘coffee with Hamas’</h1>,Published On 1 Jun 2021,Israel’s defence minister has distanced himself from comments made by his military chief after Israel bombed a Gaza Strip high-rise housing
"<h1 class=""gallery-header__heading"">Shattered rooms in Gaza show Israeli attacks’ toll on children</h1>",Published On 2 Jun 2021,In Pictures
