title,u-time,content
"April 19, 2022 Russia-Ukraine news",,
"Amnesty accuses Israel of apartheid over treatment of Palestinians, prompting angry response","Updated 6:39 AM ET, Wed February 2, 2022 ","Jerusalem (CNN)Amnesty International has become the latest human rights organization to accuse Israel of apartheid for its treatment of Palestinians, prompting an angry response from Israel, which has denounced the report as anti-Semitic. Amnesty's nearly 300-page report, released Tuesday, details ""inhuman or inhumane acts of forcible transfer, administrative detention, torture, unlawful killings and serious injuries, and the denial of basic rights and freedoms or persecution committed against the Palestinian population,"" creating ""an institutionalized regime of systematic oppression and domination over Palestinians."" "
What one meeting in Israel says about a changing world order,,"Jerusalem (CNN)There have been a lot of ""firsts"" and ""unthinkable"" moments since Israel signed the normalization agreements"
"UK anti-Semitism reaches record high in 2021, report says","Updated 8:21 PM ET, Wed February 9, 2022 ",London (CNN)More incidents of anti-Semitism
How to start the Mediterranean diet — meal by meal,"Updated 2:51 PM ET, Tue December 28, 2021 ","Sign up for CNN's Eat, But Better: Mediterranean Style. Our eight-part guide shows you a delicious expert-backed eating lifestyle that will boost your health for life. (CNN)"
"As South Africa mourns Desmond Tutu, so do LGBTQ groups, Palestinians and climate activists","Updated 10:37 AM ET, Mon December 27, 2021 "," (CNN)On Monday, cathedral bells tolled at midday in Cape Town as South Africa began a week of mourning for the Nobel Peace Prize laureate Archbishop Desmond Tutu"
The latest on the coronavirus pandemic and the Omicron variant,,
Arab League Fast Facts,,"
      Here’s a look at the Arab League, an organization of Middle Eastern and African countries and the Palestine Liberation Organization (PLO).
  "
Mahmoud Abbas Fast Facts,,"
      Here’s a look at the life of Palestinian President Mahmoud Abbas. 
  
      Birth date:"
"Israel labels six Palestinian civil society groups 'terrorist,' setting challenge for international donors","Updated 5:16 AM ET, Sat October 23, 2021 ","Jerusalem (CNN)Israel's government has declared six Palestinian civil society groups supported by the international community as terrorist organizations, prompting dismay among human rights campaigners.  Among the groups are Al Haq, one of the longest-established human rights organizations in the "
Netflix launches a 'Palestinian Stories' collection featuring award-winning films,"Updated 1:01 AM ET, Sun October 24, 2021 "," (CNN)Netflix has released a film collection dedicated to sharing Palestinian stories in a move a Palestinian filmmaker is calling ""bold.""The streaming service launched the ""Palestinian Stories"" collection, featuring 32 award-winning films created by Palestinians or about Palestinian stories, on October 14, the company said in"
Jessica Lynch Fast Facts,,"
      Here is a look at the life of Jessica Lynch, motivational speaker and former prisoner of war.
  "
Carlos the Jackal Fast Facts,,"
      Here’s a look at the life of Carlos the Jackal, once one of the world’s most wanted terrorists.
  
      Birth date: "
Bella Hadid joined pro-Palestinian protests,"Updated 7:30 PM ET, Mon May 17, 2021 ", (CNN)Bella Hadid made it clear this weekend where her support lies when it comes to the Israeli-Palestinian conflict.The supermodel 
Lebanon Fast Facts,,"
      Here is a look at Lebanon, a Middle Eastern country bordering "
Hassan Rouhani Fast Facts,,"
      Here’s a look at the life of former Iranian President Hassan Rouhani.
  
      Birth date: "
Politics threatens to outshine pageantry as Israel stages Miss Universe contest,,
How a convicted terrorist became a US citizen,,"
      A one-time Islamic jihadist who spent years in an Israeli prison for attempting to bomb a bus was granted US citizenship and allowed to remain in the country for nearly a decade as federal authorities investigated his background, CNN has learned. 
  
      The case of convicted terrorist-turned-US-citizen Vallmoe Shqaire raises questions not only about how Shqaire slipped past the enhanced vetting process implemented after 9/11, but also about why US law enforcement did not act more swiftly once his deception was discovered.
  
      Federal authorities have been aware since at least 2010 that Shqaire was arrested on a bombing-related charge in Israel and served time in prison. They’ve had fingerprint evidence conclusively linking him to the terrorist act, committed under the name Mahmad hadr Mahmad Shakir, since early 2016, according to federal court records.
  "
Netanyahu's departure would be a very big deal,,"
  Editor’s Note: Aaron David Miller is a vice president and distinguished scholar at the "
Convicted terrorist-turned-US citizen to be deported following prison sentence,,"
      Shortly before imposing sentence on a convicted terrorist who managed to become a US citizen, a federal judge in Los Angeles on Friday directed two questions at the prosecutor in the case:
  
      How did Vallmoe Shqaire get into the country in the first place? And what took the government so long to prosecute him once his terrorist past had been discovered?
  
      The questions by US District Court Judge John F. Walter echoed those raised in a "
Texas has a law that says contractors can't boycott Israel. But a federal judge just blocked it,,"
      A federal court struck down a Texas law requiring government contractors to certify they are not engaged in boycotts of Israel.
  
      U.S. District Judge Robert Pitman "
"Kushner previews 'in-depth operational document' for Middle East peace, says Trump 'will be proud'",,"
      Jared Kushner did not unveil the administration’s plan for Middle East peace during a discussion Thursday evening titled “Inside the Trump Administration’s Middle East Peace Effort: A Conversation With Jared Kushner.”
  
      He did, however, offer vague details on what the plan will entail during the 45-minute conversation at the Washington Institute, calling it an “in-depth operational document” that is “realistic, executable… and will lead to both sides being much better off.”
  
      “We’ve put together, I would say, more of an in-depth operational document that shows what we think is possible, how people can live together, how security can work, how interaction can work, and really, how you try to form the outline of what a brighter future can be,” President Donald Trump’s son-in-law and senior adviser said Thursday, detailing his team’s assessment phase and adding that they have also created a “business plan” outlining their economic vision for the region.
  "
Rashida Tlaib stands by Israel and Holocaust comments amid criticism,,"
      Michigan Democratic Rep. Rashida Tlaib defended her recent comments about Israel and the Holocaust Sunday after drawing criticism from top Republicans and Israel’s ambassador to the United Nations, accusing her detractors of purposefully mischaracterizing her remarks.
  
      Speaking on an episode of Yahoo News’ “Skullduggery” podcast"
Saudi Arabia and Israel are pushing US to confront Iran. Trump shouldn't take the bait,,"
  Editor’s Note: Aaron David Miller is a distinguished fellow at the Woodrow Wilson International Center for Scholars and author of “"
Senior Palestinian official says her US visa was rejected,,"
      Hanan Ashrawi, a leading figure in Palestinian politics over several decades, said Monday she had been denied a visa to enter the United States. 
  
      “It is official! My US visa application has been rejected. No reason given,” she wrote on Twitter"
Trump dances with danger in Middle East by deploying aircraft carrier and Kushner's peace plan,,"
      In the Persian Gulf, a US aircraft carrier, the USS Abraham Lincoln, lurks off the Iranian coast, sending out a message of aggression. Meanwhile, in the Levant, the administration of US President Donald Trump starts to roll out his version of a"
"Trump's economic peace plan for Mideast is doomed before it begins, Palestinian businessmen say",,"
      The White House’s economic workshop, the first step in its much-heralded Mideast peace plan, puts investment in the Palestinian economy front and center. 
  "
Israeli minister calls for closure of embassy in Dublin after settlements vote,,"
      Israeli Defense Minister Avigdor Lieberman has called for the “immediate” closure of his country’s embassy in Dublin after the upper house of the Irish parliament voted to ban the import of goods produced in Israeli settlements.  
  
      The comments came after Israel summoned Ireland’s ambassador in Tel Aviv shortly after the vote at the Irish senate, known as the Seanad, on Wednesday. 
  
      “There is no point in summoning the Ambassador of Ireland for a ‘reprimand,’” Lieberman wrote in a tweet on Thursday. “Israel needs to immediately close the embassy in Ireland. We don’t turn the other cheek to those who boycott us,” 
  "
